condition,value_count,학점,토익 점수,토스 레벨,오픽 레벨,인턴 경험,자격증 개수,수상내역,자원봉사,해외 경험,
2022년 하반기,208,3.63,462.31,NH,NH,0.54,2.02,0.46,0.27,0.26,
삼성전자㈜,193,3.45,563.16,NH,NH,0.44,1.17,0.59,0.35,0.21,
지방4년,1303,3.72,604.91,NH,NH,0.42,1.99,0.39,0.39,0.24,
경영학과,316,3.79,787.23,NH,NH,0.59,1.74,0.38,0.44,0.39,
품질관리자,504,3.57,601.95,NH,NH,0.42,1.34,0.4,0.34,0.22,
2016년 상반기 & GS리테일,27,3.53,666.3,NH,NH,0.56,1.78,0.15,0.33,0.3,
2017년 하반기 & 서울4년,187,3.58,693.42,NH,NH,0.67,1.2,0.24,0.61,0.22,
2018년 상반기 & 경영학과,46,3.99,886.3,NH,0,0.63,0.89,0.57,0.3,0.37,
2015년 하반기 & 앱개발자,96,3.64,623.75,NH,NH,0.46,1.55,0.51,0.18,0.2,
삼성전자㈜ & 서울4년,69,3.7,732.9,NH,NH,0.68,1.25,0.49,0.49,0.26,
삼성전자㈜ & 전자공학과,13,3.8,516.92,NH,NH,0.23,1.23,0.54,0.38,0.08,
CJ대한통운(주) & 자재관리자,25,3.71,638.6,NH,NH,0.32,1.24,0.2,0.36,0.4,
서울4년 & 경영학과,179,3.76,790.42,NH,NH,0.8,1.42,0.47,0.55,0.37,
지방4년 & 품질관리자,171,3.74,632.81,NH,NH,0.6,1.72,0.36,0.4,0.3,
컴퓨터공학 & 앱개발자,47,3.66,567.55,0,NH,0.26,1.87,0.91,0.43,0.13,
2015년 하반기 & 삼성전자㈜ & 지방4년,12,3.85,616.25,NH,NH,0.25,1.33,0.33,0.5,0.17,
2015년 하반기 & SK C&C & 컴퓨터공학과,5,3.36,305,NH,NH,0.8,2.2,0.8,0.6,0.2,
2018년 상반기 & 삼성전자㈜ & 반도체엔지니어,14,3.1,547.14,NH,NH,0.21,1.07,0.29,0.5,0.14,
2023년 상반기 & 서울4년 & 경영학과,25,3.59,585.4,NH,0,0.32,2.56,0,0.64,0,
2016년 하반기 & 서울4년 & 영업지원,38,3.71,769.47,NH,NH,0.32,0.95,0.24,0.63,0.34,
2020년 상반기 & 행정학과 & 사무담당자,20,4,790,NH,0,0,2,0,0,0,
GS리테일 & 지방4년 & 경영학부,6,3.9,855,NH,0,0.17,2.5,0.17,0.17,0.67,
GS리테일 & 서울4년 & 영업지원,28,3.66,808.93,NH,NH,0.32,1.36,0.32,0.32,0.43,
롯데IT테크(주) & 컴퓨터학부 & 앱개발자,5,3.83,760,NH,NH,0.8,0.8,0,0.2,0,
지방4년 & 전자공학 & 전기·전자엔지니어,31,3.58,796.29,NH,0,0.03,1.74,0.06,0.03,0.06,
2016년 하반기 & 삼성전자㈜ & 지방4년 & 기계설계공학과,3,3.8,808.33,NH,IL,0.67,0.67,1,0,0,
2018년 상반기 & 삼성전자㈜ & 수도권4년 & 반도체엔지니어,6,3.6,587.5,NH,NH,0.17,1,0.17,0,0.17,
2017년 하반기 & 한국동서발전(주) & 전자공학 & 전기·전자엔지니어,4,3.56,590,0,0,0,2.5,0,0,0,
2022년 하반기 & 수도권4년 & 경제학과 & 회계담당자,16,4.13,455,0,0,0,4,0,0,0,
한국전력공사 & 지방4년 & 전자공학 & 전기·전자엔지니어,5,3.55,838,0,0,0,1,0,0,0,
2017년 하반기 & 한국동서발전(주) & 지방4년 & 전자공학 & 전기·전자엔지니어,3,3.65,786.67,0,0,0,3.33,0,0,0,
